Date,Open,High,Low,Close,Adj Close,Volume,MA_5,MA_20,MA_50,Daily_Return,Volatility,Volume_Mean,RSI,MACD,Signal_Line,Target
2010-03-16,0.4287500083446502,0.4465000033378601,0.4284999966621399,0.4440000057220459,0.4072487950325012,664988000,0.43474999666213987,0.4232875004410744,0.42643999934196475,0.03496507188577369,0.012252892418769354,586215600.0,65.79635561852521,0.0034405333458060183,0.0007898685729240804,0.4524999856948852
2010-03-17,0.4465000033378601,0.4584999978542328,0.4465000033378601,0.4524999856948852,0.4150452315807342,651168000,0.4372999966144562,0.42361249923706057,0.42624499917030334,0.019144098791207043,0.01295322111940955,574946000.0,71.14428214774901,0.005021072540544624,0.0016361093664481892,0.4365000128746032
2010-03-18,0.453249990940094,0.453249990940094,0.4325000047683716,0.4365000128746032,0.4003695547580719,740964000,0.4386500000953674,0.42459999918937685,0.42559499919414523,-0.035359057074248246,0.013153794706938981,536218800.0,64.12557396232395,0.004925815416393808,0.0022940505764373134,0.4312500059604645
2010-03-19,0.4429999887943268,0.4442499876022339,0.4257499873638153,0.4312500059604645,0.3955541253089905,584612000,0.4386500000953674,0.4254374995827675,0.424779999256134,-0.012027506894133677,0.013009325437378176,539922000.0,54.9751365495539,0.004376245147439561,0.002710489490637763,0.4382500052452087
2010-03-22,0.4257499873638153,0.4399999976158142,0.4257499873638153,0.4382500052452087,0.4019747078418731,435336000,0.44050000309944154,0.4265874996781349,0.42428999960422514,0.016231882175059997,0.013077770684799572,538784600.0,58.04196056811438,0.004454202912170746,0.0030592321749443596,0.4472500085830688
2010-03-23,0.4415000081062317,0.4494999945163727,0.4384999871253967,0.4472500085830688,0.4102296829223633,493612000,0.44115000367164614,0.4286874994635582,0.4239599996805191,0.020536230987206583,0.012841102971113115,538977000.0,64.18919807836727,0.005182469770041054,0.0034838796939636986,0.4322499930858612
2010-03-24,0.4435000121593475,0.4447500109672546,0.4314999878406524,0.4322499930858612,0.396471232175827,436252000,0.4371000051498413,0.42961249947547914,0.4234599995613098,-0.033538323553596094,0.012365985480641403,538496200.0,56.28742244256778,0.0044974072997059356,0.0036865852151121464,0.4334999918937683
2010-03-25,0.4384999871253967,0.4412499964237213,0.4325000047683716,0.4334999918937683,0.3976177275180816,495184000,0.4365000009536743,0.43078749924898146,0.42329499959945677,0.0028918422854868897,0.011489776172144648,534406800.0,51.868127779803935,0.004009139943809692,0.0037510961608516556,0.4334999918937683
2010-03-26,0.4372499883174896,0.4417499899864197,0.4300000071525574,0.4334999918937683,0.3976177275180816,344676000,0.4369499981403351,0.43221249878406526,0.4230099993944168,0.0,0.009760377095950321,531970800.0,54.883714096167544,0.0035809060901153544,0.0037170581467043957,0.4390000104904175
2010-03-29,0.4362500011920929,0.4399999976158142,0.4302499890327453,0.4390000104904175,0.4026627242565155,394456000,0.4370999991893768,0.43310000002384186,0.4229749995470047,0.012687471048435484,0.009515015039867535,523900200.0,50.12854069157926,0.0036433351117101664,0.00370231353970555,0.4407500028610229
2010-03-30,0.4440000057220459,0.4462499916553497,0.4332500100135803,0.4407500028610229,0.4042677581310272,324104000,0.43579999804496766,0.43408749997615814,0.4232349997758865,0.003986315099743232,0.009213217693247672,513173000.0,50.510212615198874,0.0037903277808516433,0.0037199163879347687,0.4350000023841858
2010-03-31,0.4390000104904175,0.4410000145435333,0.4327499866485595,0.4350000023841858,0.3989937007427215,389840000,0.4363499999046326,0.4350500002503395,0.42321999967098234,-0.013045945410124493,0.008139651909799357,512700000.0,52.80000279744378,0.003403608862159624,0.00365665488277974,0.4305000007152557
2010-04-01,0.4370000064373016,0.44200000166893,0.4259999990463257,0.4305000007152557,0.3948662281036377,339664000,0.4357500016689301,0.43575000017881393,0.42314999997615815,-0.01034483136612896,0.006979763226015951,501813400.0,49.612400474126325,0.0027028618968633067,0.0034658962855964536,0.4370000064373016
2010-04-05,0.4332500100135803,0.4377500116825104,0.4327499866485595,0.4370000064373016,0.4008281230926513,413636000,0.4364500045776367,0.4361375004053116,0.42336499989032744,0.015098735682337772,0.006813045569617998,490853600.0,53.960403635528856,0.0026415607492090154,0.003301029178318966,0.426250010728836
